Subset Code,Subset Name,NCIt Concept Code,NCIt Preferred Term,NCIt Definition,UBERON Code,UBERON Preferred Term,UBERON Synonyms(s),UBERON Definition
C198975,UBERON Terminology,C32608,Finger,Any of the digits of the hand.,UBERON:0002389,manual digit,digit of hand || digit of manus || digitus manus || finger || fore digit || forelimb digit || hand digit || manual digit (phalangeal portion) plus soft tissue,A digit that is part of a manus (hand).
C198975,UBERON Terminology,C52834,Hand Digit 1,The thick and short hand digit which is next to the index finger in humans.,UBERON:0001463,manual digit 1,digit 1 of manus || finger 1 || first digit of hand || fore digit I || fore limb digit 1 || hand digit 1 || manual digit 1 || manual digit I || pollex,1st (preaxial) digit of the manus.
C198975,UBERON Terminology,C52835,Hand Digit 2,"The second finger from the radial side of the hand, next to the thumb.",UBERON:0003622,manual digit 2,2nd digit of hand || 2nd finger || finger 2 || fore digit II || fore limb digit 2 || hand digit 2 || manual digit II || second digit of hand || second finger,2nd digit of the manus.
C198975,UBERON Terminology,C52837,Hand Digit 4,The fourth finger from the radial side of the hand.,UBERON:0003624,manual digit 4,4th digit of hand || 4th finger || finger 4 || fore digit IV || fore limb digit 4 || fourth digit of hand || fourth finger || hand digit 4 || manual digit IV,4th digit of the manus.
C198975,UBERON Terminology,C52838,Hand Digit 5,The fifth and smallest finger from the radial side of the hand.,UBERON:0003625,manual digit 5,5th digit of hand || 5th finger || fifth digit of hand || fifth finger || finger 5 || fore digit V || fore limb digit 5 || hand digit 5 || manual digit V,5th digit of the manus.
C198975,UBERON Terminology,C32712,Hand,"The distal portion of the upper extremity. It consists of the carpus, metacarpus, and digits.",UBERON:0002398,manus,forelimb autopod || forelimb autopodium || hand || hand region || terminal segment of free upper limb,"Distal segment of the fore limb, including carpal region, metacarpal region and digits."
C198975,UBERON Terminology,C26470,Maxilla,The upper jawbone in vertebrates; it is fused to the cranium.,UBERON:0002397,maxilla,,"The bone which normally forms the lateral upper jaw in osteichthyans, including tetrapods."
C198975,UBERON Terminology,C12275,Maxillary Sinus,"A pyramidal-shaped, thin-walled, air-filled cavity located in the maxilla. It is lined by mucus membrane and periosteum (mucoperiosteum) which contains cilia. It is adjacent to the nasal cavity and communicates with the middle meatus of the nose. It is the largest paranasal sinus and is composed of three recesses: alveolar, zygomatic, and infraorbital.",UBERON:0001764,maxillary sinus,antrum of Highmore || sinus maxilliaris,"One of the paired paranasal sinuses, located in the body of the maxilla, communicating with the middle meatus of the nasal cavity."
C198975,UBERON Terminology,C33073,Mediastinal Lymph Node,"A lymph node located in the mediastinum. Mediastinal lymph nodes are arranged in three groups, one on the lateral, another on the medial, and a third on the anterior aspect of the vessels; the third group is, however, sometimes absent.",UBERON:0002524,mediastinal lymph node,mediastinal node,"A lymph node that is part of a mediastinum. Each consists of several lymph node groups, especially along the trachea (5 groups), along the esophagus and between the lung and the diaphragm. In the mediastinal lymph nodes arises lymphatic ducts, which drains the lymph to the left subclavian vein (to the venous angle in the confluence of the subclavian and deep jugular veins). The mediastinal lymph nodes along the esophagus are in tight connection with the abdominal lymph nodes along the esophagus and the stomach. That fact facilitates spreading of tumors cells through these lymphatics in cases of cancers of the stomach and particularly of the esophagus. Through the mediastinum, the main lymphatic drainage from the abdominal organs goes via the thoracic duct (ductus thoracicus), which drains majority of the lymph from the abdomen to the above mentioned left venous angle."
C198975,UBERON Terminology,C12748,Mediastinum,"An anatomic site along the midline and under the sternum that contains the heart and pericardium, the bases of the great vessels, the trachea and bronchi, esophagus, thymus, lymph nodes, thoracic duct, phrenic and vagus nerves, and other structures and tissues.",UBERON:0003728,mediastinum,mediastinal part of chest,The central part of the thoracic cavity enclosed by the left and right pleurae.
C198975,UBERON Terminology,C12442,Medulla Oblongata,"The lower portion of the brainstem located between the pons and the spinal cord. This structure contains several descending and ascending tracts, lower cranial nerve nuclei, a significant proportion of the reticular system of the brainstem and other structures.",UBERON:0001896,medulla oblongata,,"Organ component of neuraxis that has as its parts the medullary reticular formation, inferior olivary complex and cochlear nuclear complex, among other structures[FMA]. The medulla oblongata lies directly above the spinal cord and controls vital autonomic functions such as digestion, breathing and the control of heart rate[GO]."
C198975,UBERON Terminology,C12348,Meninges,Any one of three membranes that surround the brain and spinal cord.,UBERON:0010743,meningeal cluster,,The collection of all meningeal layers that line a central nervous system.
C198975,UBERON Terminology,C12350,Spinal Meninges,"Connective tissue membranes that surround and support the spinal cord and cauda equina. They are continuous with cerebral meninges, which surround and support the brain.",UBERON:0003292,meninx of spinal cord,,A meninx that is part of a spinal cord [Automatically generated definition].
C198975,UBERON Terminology,C77641,Mesenteric Lymph Node,A lymph node located in the mesentery.,UBERON:0002509,mesenteric lymph node,mesenteric node,"The lymph nodes located in the mesentery, of which there are 3 classes: ileocolic, juxtaintestinal mesenteric, and central superior group."
C198975,UBERON Terminology,C33103,Mesentery,A double layer of peritoneum that attaches to the back wall of the abdominal cavity and supports the small intestines.,UBERON:0002095,mesentery,generic mesentery || mesentery (generic),"Anatomical organ component composed of a double layer of serous membrane that suspends a viscus from the body wall or connects adjacent viscera and in doing so conveys blood vessels, lymphatics and nerves to and from the viscera. Examples: greater omentum, broad ligament of uterus, sigmoid mesocolon."
C198975,UBERON Terminology,C33105,Mesothelium,"A simple layer of cells, derived from the mesoderm that lines the coelom or body cavity of the embryo. In the adult, it covers all true serous membranes (peritoneum, pericardium, pleura).",UBERON:0001136,mesothelium,,"Simple squamous epithelium of mesodermal origin which lines serous membranes. Examples: mesothelium of pleura, mesothelium of peritoneum[FMA]. Wikipedia: The mesothelium is a membrane that forms the lining of several body cavities: the pleura (thoracal cavity), peritoneum (abdominal cavity including the mesentery) and pericardium (heart sac). Mesothelial tissue also surrounds the male internal reproductive organs (the tunica vaginalis testis) and covers the internal reproductive organs of women (the tunica serosa uteri)."
C198975,UBERON Terminology,C12510,Mesencephalon,"The uppermost portion of the brainstem located between the pons and the diencephalon. The midbrain contains the cerebral peduncles, oculomotor, trochlear and red nuclei, substantia nigra and various other nuclei and tracts.",UBERON:0001891,midbrain,,"The midbrain is the middle division of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes a ventral part containing the cerebral peduncles and a dorsal tectum containing the corpora quadrigemina and that surrounds the aqueduct of Sylvius connecting the third and fourth ventricles)[GO]."
C198975,UBERON Terminology,C12274,Middle Ear,The part of the ear including the eardrum and ossicles. The middle ear leads to the inner ear.,UBERON:0001756,middle ear,,"The middle ear is the air-filled cavity within the skull of vertebrates that lies between the outer ear and the inner ear. It is linked to the pharynx (and therefore to outside air) via the Eustachian tube and in mammals contains the three ear ossicles, which transmit auditory vibrations from the outer ear (via the tympanum) to the inner ear (via the oval window)[GO]."
C198975,UBERON Terminology,C12254,Middle Third of the Esophagus,The middle one third of the esophagus in which the muscle layer is composed of muscle cells of the striated and smooth types.,UBERON:0013474,middle part of esophagus,,The middle one third of the esophagus in which the muscle layer is composed of muscle cells of the striated and smooth types.
C198975,UBERON Terminology,C12863,Middle Phalanx of Hand,"One of four finger bones located between, and articulating with, a proximal phalange and a distal phalange.",UBERON:0003864,middle phalanx of manus,hand middle phalanx || middle manual phalanx || middle phalanx of finger || middle phalanx of hand || middle phalanx of manual digit || phalanx media manus,A middle phalanx that is part of a finger.
C198975,UBERON Terminology,C54187,Floor of Mouth,"The horseshoe-shaped part of the oral cavity bounded superiorly by the ventral surface of the tongue, inferiorly by the mylohyoid muscle, anterolaterally by the gingival surfaces of the mandible, and posteriorly by the anterior tonsillar pillar.",UBERON:0003679,mouth floor,floor of mouth || floor of oval cavity || floor of the oval cavity,"The ventral area of the mouth. In organisms with a tongue, this is the area under the ventral surface of the tongue."
C198975,UBERON Terminology,C77637,Oral Mucosa,"Moist tissue lining the oral cavity, containing mucous secreting glands.",UBERON:0003729,mouth mucosa,mouth mucosa || mouth mucous membrane || mouth organ mucosa || mucosa of mouth || mucous membrane of mouth || oral mucous membrane || oral part of viscerocranial mucosa || tunica mucosa oris,A mucous membrane that lines the mouth.
C198975,UBERON Terminology,C12421,Oral Cavity,"The cavity located at the upper end of the alimentary canal, behind the teeth and gums that is bounded on the outside by the lips, above by the hard and soft palates and below by the tongue.",UBERON:0000165 || UBERON:0000167,mouth || oral cavity,buccal cavity || cavity of mouth || regio oralis,"Anatomical cavity at the start of the digestive tract that that is enclosed by the mouth. The boundaries and contents vary depending on the species. In vertebrates, the boundaries are the oral opening, the cheeks, the palate and (if present) the palatoglossal arch - if this is not present then the mouth and pharynx form the oropharyngeal cavity. The buccal cavity contains the teeth, tongue and palate (when present). || The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates, this extends to the pharynx and includes gums, lips, tongue and parts of the palate. Typically also includes the teeth, except where these occur elsewhere (e.g. pharyngeal jaws) or protrude from the mouth (tusks)."
C198975,UBERON Terminology,C33568,Small Intestinal Mucosa,"Mucosa arranged into two fundamental structures - villi and crypts of Lieberkuhn. Villi are projections into the lumen of the small intestine, covered with simple columnar epithelium. Crypts of Lieberkuhn are moat-like invaginations of the epithelium around the villi that extend through the lamina propria down to the muscularis mucosae. Lymphocytes often invade the epithelium or form solitary lymphoid nodules in the lamina propria. Lymph nodules may form longitudinal aggregations of 30-50 nodules in the lamina propria of the ileum. These large aggregations are called Peyer's patches. The muscularis mucosae has two layers and extends into the intestinal villi, where the smooth muscle cells form a longitudinal bundle in the centre of the villi. The small intestinal mucosa secretes gastrin, somatostatin, cholecystokinin and secretin.",UBERON:0001204,mucosa of small intestine,mucosa of organ of small bowel || mucosa of organ of small intestine || mucosa of small bowel || mucous membrane of small bowel || mucous membrane of small intestine || organ mucosa of small bowel || organ mucosa of small intestine || small bowel mucosa || small bowel mucosa of organ || small bowel mucous membrane || small bowel organ mucosa || small intestinal mucosa || small intestine mucosa || small intestine mucosa of organ || small intestine mucous membrane || small intestine organ mucosa || tunica mucosa (intestinum tenue) || tunica mucosa intestini tenuis,A mucosa that is part of a small intestine.
C198975,UBERON Terminology,C32656,Gastric Mucosa,The mucus membrane lining the inner surface of the stomach.,UBERON:0001199,mucosa of stomach,gastric mucosa || gastric mucous membrane || mucosa of organ of stomach || mucosa of organ of ventriculus || mucosa of ventriculus || mucous membrane of stomach || mucous membrane of ventriculus || organ mucosa of stomach || organ mucosa of ventriculus || stomach mucosa || stomach mucosa of organ || stomach mucous membrane || stomach organ mucosa || tunica mucosa (gaster) || tunica mucosa gastricae || ventriculus mucosa || ventriculus mucosa of organ || ventriculus mucous membrane || ventriculus organ mucosa,The mucosal layer that lines the stomach.
C198975,UBERON Terminology,C32205,Bladder Mucosa,The mucous membrane that is the inner lining of the urinary bladder.,UBERON:0001259,mucosa of urinary bladder,,The mucous membrane lining the urinary bladder.
C198975,UBERON Terminology,C12314,Myometrium,The smooth muscle lining the uterus.,UBERON:0001296,myometrium,,"The smooth muscle coat of the uterus, which forms the main mass of the organ and surrounds and supports the endometrium."
C198975,UBERON Terminology,C33156,Nail,The cutaneous plate on the dorsal surface of the distal end of a finger or toe.,UBERON:0001705,nail,nail/claw,A horn-like keratin structure covering the dorsal aspect of the terminal phalanges of fingers and toes.
C198975,UBERON Terminology,C12424,Nasal Cavity,"The proximal portion of the respiratory passages on either side of the nasal septum lying between the floor of the cranium and the roof of the mouth and extending from the face to the pharynx. The nasal cavity is lined with ciliated mucosa, extending from the nares to the pharynx.",UBERON:0001707,nasal cavity,cavity of nose || cavity of olfactory apparatus || nasal canal || nasal conduit space || nasal fossa || olfactory chamber cavity,"An anatomical cavity that is part of the olfactory apparatus. This includes the space bounded anteriorly by the nares and posteriorly by the choanae, when these structures are present."
C198975,UBERON Terminology,C12423,Nasopharynx,"The part of the pharynx in the back of the throat, at and above the soft palate. The nasopharynx is continuous with the nasal passages.",UBERON:0001728,nasopharynx,nasal part of pharynx || rhinopharynx,The section of the pharynx that lies above the soft palate.
C198975,UBERON Terminology,C13063,Neck,The region that connects the head to the rest of the body.,UBERON:0000974,neck,,"An organism subdivision that extends from the head to the pectoral girdle, encompassing the cervical vertebral column."
C198975,UBERON Terminology,C12336,Bladder Neck,The inferior portion of the urinary bladder which is formed as the walls of the bladder converge and become contiguous with the proximal urethra.,UBERON:0001258,neck of urinary bladder,,"The constricted portion of the urinary bladder, formed by the meeting of its inferolateral surfaces proximal to the opening of the urethra[MP]."
C198975,UBERON Terminology,C12768,Peripheral Nerve,Any nerve outside the brain or spinal cord that connects with peripheral receptors or effectors.,UBERON:0001021,nerve,nerves || peripheral nerve,"An enclosed, cable-like bundle of axons in the peripheral nervous system originating in a nerve root in the central nervous system (or a condensed nervous structure) connecting with peripheral structures."
C198975,UBERON Terminology,C12755,Nervous System,"The entire nerve apparatus, composed of a central part, the brain and spinal cord, and a peripheral part, the cranial and spinal nerves, autonomic ganglia, and plexuses.",UBERON:0001016,nervous system,,"The nervous system is an organ system containing predominantly neuron and glial cells. In bilaterally symmetrical organism, it is arranged in a network of tree-like structures connected to a central body. The main functions of the nervous system are to regulate and control body functions, and to receive sensory input, process this information, and generate behavior [CUMBO]."
C198975,UBERON Terminology,C12299,Nipple,The pigmented protuberance on the surface of the breast through which milk is drawn from the breast.,UBERON:0002030,nipple,,Projection of skin containing the outlets for 15-20 lactiferous ducts arranged cylindrically around the tip.
C198975,UBERON Terminology,C177767,Occipital Lobe Cortex,"The grey matter, or outermost layer of the occipital lobe.",UBERON:0016540,occipital cortex,cortex of occipital lobe || occipital lobe cortex || occipital neocortex,
C198975,UBERON Terminology,C12355,Occipital Lobe,One of the four regions of cortex in each cerebral hemisphere. It is located posterior to the temporal lobe and inferior to the parietal lobe.,UBERON:0002021,occipital lobe,,Posterior part of the cerebral hemisphere (MSH).
C198975,UBERON Terminology,C98188,Occipital Lymph Node,A lymph node located in the back of the head adjacent to the trapezius muscle.,UBERON:0035204,occipital lymph node,occipital node,A lymph node located in the back of the head adjacent to the trapezius muscle.
C198975,UBERON Terminology,C32574,Eye Appendage,"Any accessory organ of the eye, including the eyelids, eyebrows, lacrimal apparatus, or conjunctiva.",UBERON:0035639,ocular adnexa,,"The parts of the orbital region that are outside of the the eyeball, including the lacrimal apparatus, the extraocular muscles and the eyelids, eyelashes, eyebrows and the conjunctiva."
C198975,UBERON Terminology,C33209,Omentum,A fold of peritoneum originating at the stomach and supporting the viscera.,UBERON:0003688,omentum,,A fold of peritoneum originating at the stomach and supporting the viscera.
C198975,UBERON Terminology,C12344,Choroid,A blood vessel-containing membrane of the eye that lies between the retina and the sclera.,UBERON:0001776,optic choroid,,"Vascular layer containing connective tissue, of the eye lying between the retina and the sclera. The choroid provides oxygen and nourishment to the outer layers of the retina. Along with the ciliary body and iris, the choroid forms the uveal tract[WP]."
C198975,UBERON Terminology,C33218,Optic Tract,"A continuation of the optic nerves just dorsal to the optic chiasm, formed by temporal fibers of the ipsilateral optic nerve and nasal fibers of the contralateral optic nerve, that carries axons to nuclei within the thalamus and relays visual information to the primary visual cortex of the occipital lobe.",UBERON:0001908,optic tract,,"Diencephalic white matter (tract) which is comprised of retinal ganglion cell axons after which they have passed through the optic chiasm[ZFA]. Predominantly white matter structure found in diencephalon consisting of fibers originating in the retina. The optic tract is considered to extend from the point of the optic chiasm and terminates largely, although not exclusively, in the lateral geniculate complex. Other fibers end in the superior colliculus and other structures in the diencephalon, midbrain and brainstem (MM)[NIF]."
C198975,UBERON Terminology,C12762,Oropharynx,The part of the pharynx between the soft palate and the upper portion of the epiglottis.,UBERON:0001729,oropharynx,oral part of pharynx,The portion of the pharynx that lies between the soft palate and the upper edge of the epiglottis.
C198975,UBERON Terminology,C12404,Ovary,One of the paired female reproductive glands containing the ova or germ cells; the ovary's stroma is a vascular connective tissue containing numbers of ovarian follicles enclosing the ova.,UBERON:0000992,ovary,animal ovary || female gonad || female organism genitalia gonad || female organism genitalia gonada || female organism reproductive system gonad || female organism reproductive system gonada || female reproductive system gonad || female reproductive system gonada || genitalia of female organism gonad || genitalia of female organism gonada || gonad of female organism genitalia || gonad of female organism reproductive system || gonad of female reproductive system || gonad of genitalia of female organism || gonad of reproductive system of female organism || gonada of female organism genitalia || gonada of female organism reproductive system || gonada of female reproductive system || gonada of genitalia of female organism || gonada of reproductive system of female organism || ovum-producing ovary || reproductive system of female organism gonad || reproductive system of female organism gonada,The gonad of a female organism which contains germ cells.
C198975,UBERON Terminology,C12232,Uvula,The fleshy lobe that hangs at the back of the soft palate.,UBERON:0001734,palatine uvula,uvula || uvula of palate || uvula palatina,"Conic projection from the posterior edge of the middle of the soft palate, composed of connective tissue containing a number of racemose glands, and some muscular fibers."
C198975,UBERON Terminology,C12393,Pancreas,"An organ behind the lower part of the stomach that is the shape of a fish and about the size of a hand. It is a compound gland composed of both exocrine and endocrine tissues. The endocrine pancreas makes insulin so that the body can use glucose (sugar) for energy. The exocrine pancreas makes enzymes that help the body digest food. Spread all over the pancreas are areas called the Islets of Langerhans. The cells in these areas each have a special purpose. The alpha cells make glucagon, which raises the level of glucose in the blood; the beta cells make insulin; the delta cells make somatostatin. There are also PP cells and D1 cells, about which little is known.",UBERON:0001264,pancreas,,An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating hormones.
C198975,UBERON Terminology,C207628,Para-aortic Body,"Small masses of chromaffin cells that are located alongside the abdominal aorta from above the level of the superior mesenteric artery to below the level of the aortic bifurcation. Derived from neural crest, para-aortic bodies are the main source of fetal catecholamines and normally regress after birth.",UBERON:0001237,paraaortic body,,A chromaffin paraganglion located at the bifurcation of the aorta or at the origin of the inferior mesenteric artery.
C198975,UBERON Terminology,C77643,Paraaortic Lymph Node,A lymph node located adjacent to the lumbar region of the spine.,UBERON:0016386,paraaortic lymph node,lateral aortic lymph node || lateral aortic node || para-aortic lymph node,"The paraaortic lymph nodes (also known as para-aortic, periaortic, and peri-aortic) are a group of lymph nodes that lie in front of the lumbar vertebral bodies near the aorta. These lymph nodes receive drainage from the lower gastrointestinal tract and the pelvic organs."
C198975,UBERON Terminology,C12763,Paranasal Sinus,"Any one of the air-filled spaces within the ethmoid, frontal, maxillary, or sphenoid bones, which communicate with the nasal cavity.",UBERON:0001825,paranasal sinus,,The paired air-filled cavities surrounded by the bones of the face that are lined by mucous membranes and are continuous with the nasal cavity.
C198975,UBERON Terminology,C32853,Internal Mammary Lymph Node,"Any of the lymph nodes of the breast located under the ribcage, near the sternum.",UBERON:0035219,parasternal lymph node,internal mammary lymph node || nodus parasternale || parasternal node,"Any of the lymph nodes of the breast located under the ribcage, near the sternum."
C198975,UBERON Terminology,C12765,Parathyroid Gland,"One of two small paired endocrine glands, superior and inferior, usually found embedded in the connective tissue capsule on the posterior surface of the thyroid gland; these glands secrete parathyroid hormone that regulates the metabolism of calcium and phosphorus. The parenchyma is composed of chief and oxyphilic cells arranged in anastomosing cords.",UBERON:0001132,parathyroid gland,parathyroid,
C198975,UBERON Terminology,C12354,Parietal Lobe,One of the lobes of the cerebral hemisphere located superiorly to the occipital lobe and posteriorly to the frontal lobe. Cognition and visuospatial processing are its main functions.,UBERON:0001872,parietal lobe,,Upper central part of the cerebral hemisphere. (MSH).
C198975,UBERON Terminology,C12427,Parotid Gland,"The largest of the three paired salivary glands, located in front of the ear.",UBERON:0001831,parotid gland,parotid,"The parotid gland is the largest of the salivary glands. It is found wrapped around the mandibular ramus, and it secretes saliva through Stensen's duct into the oral cavity, to facilitate mastication and swallowing. [WP,unvetted]."
C198975,UBERON Terminology,C33278,Parotid Gland Lymph Node,"A lymph node located close to, on, or within the parotid gland.",UBERON:0015857,parotid lymph node,parotid node,A lymph node found near the parotid gland.
C198975,UBERON Terminology,C33282,Patella,A small flat triangular bone in front of the knee that articulates with the femur and protects the knee joint.,UBERON:0002446,patella,,A large sesamoid bone found in the distal femur/proximal tibial region of the hindlimb of tetrapods. The patella is the attachment site for proximal hindlimb tendons.
C198975,UBERON Terminology,C12363,Pelvic Lymph Node,Any lymph node within the abdominal pelvic region.,UBERON:0015876,pelvic lymph node,lymph node of pelvis,Any lymph node within the abdominal pelvic region.
C198975,UBERON Terminology,C12767,Pelvis,"The bony, basin-shaped structure formed by the hipbones and the base of the backbone supporting the lower limbs in humans.",UBERON:0001270 || UBERON:0002355,pelvic region of trunk,lesser pelvis || pelvic region || pelvis || pelvis region || true pelvis,"The lower segment of the trunk, inferoposterior to the abdomen proper, in the transition area between the trunk and the lower limbs."
C198975,UBERON Terminology,C12409,Penis,The male organ of urination and copulation.,UBERON:0000989,penis,,"An intromittent organ in certain biologically male organisms. In placental mammals, this also serves as the organ of urination."
C198975,UBERON Terminology,C13005,Pericardium,A conical membranous sac filled with serous fluid in which the heart as well as the roots of the aorta and other large blood vessels are contained.,UBERON:0002407,pericardium,,The combination of pericardial sac (a double-walled sac containing the heart and the roots of the great vessels) plus fibrous pericardium.
C198975,UBERON Terminology,C12465,Peripheral Nervous System,That part of the nervous system consisting of the nerves and neurons that reside or extend outside the central nervous system.,UBERON:0000010,peripheral nervous system,,"A major division of the nervous system that contains nerves which connect the central nervous system (CNS) with sensory organs, other organs, muscles, blood vessels and glands."
C198975,UBERON Terminology,C12769,Peritoneal Cavity,The potential space located between the parietal and visceral layers of the peritoneum.,UBERON:0001179,peritoneal cavity,,Anatomical cavity bounded by visceral and parietal peritoneum.
C198975,UBERON Terminology,C12770,Peritoneum,"The tissue that lines the wall of the abdominal cavity, intestine, mesentery, and pelvic organs. It consists of the parietal peritoneum and the visceral peritoneum.",UBERON:0002358,peritoneum,,A serous membrane that lines the peritoneal cavity.
C198975,UBERON Terminology,C32622,Foot,The structure found below the ankle joint.,UBERON:0002387,pes,foot || hindlimb autopod || hindlimb autopodium || hindlimb distal free limb segment || terminal segment of free lower limb,"Distal portion of the hind limb, including tarsal region, metatarsal region and digits."
C198975,UBERON Terminology,C33318,Pharyngeal Tonsil,"A fold of lymphatic tissue covered by ciliated epithelium at the very back of the nose, in the roof of the nasopharynx.",UBERON:0001732,pharyngeal tonsil,adenoid || nasopharyngeal tonsil || tonsil of Luschka || tonsilla pharyngealis,The lymph tissue in the roof and posterior wall of the nasopharynx.
C198975,UBERON Terminology,C12425,Pharynx,A hollow tube that starts posterior to the mouth and nasal cavity and ends superior to the trachea and esophagus.,UBERON:0006562,pharynx,,The pharynx is the part of the digestive system immediately posterior to the mouth.
C198975,UBERON Terminology,C12398,Pineal Gland,"A small endocrine gland in the brain, situated beneath the back part of the corpus callosum, that secretes melatonin.",UBERON:0001905,pineal body,corpus pineale || glandula pinealis || pineal gland,"A midline, cone like structure located in the dorso-caudal roof of the 3rd ventricle, attached by peduncles to the habenular and posterior commissures. The stalk contains nerve fibers, blood vessels, connective tissue and parenchymal cells (Paxinos, The Rat Central Nervous System, 2nd ed, pg 399)."
C198975,UBERON Terminology,C12292,External Ear,The external part of the ear.,UBERON:0001757,pinna,auricle || auricle of ear || auricle of external ear || auricula || auris externa || pinna of ear,
C198975,UBERON Terminology,C12399,Pituitary Gland,"Pea-sized endocrine gland located at the base of the brain in the pituitary fossa. It produces and secretes hormones such as oxytocin and vasopressin, to regulate the activities of the hypothalamus.",UBERON:0000007,pituitary gland,glandula pituitaria || pituitary || pituitary body,An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin.
C198975,UBERON Terminology,C13272,Placenta,"An organ present in some vertebrates during embryonic gestation that surrounds the fetus and provides it with nutrients and oxygen, facilitates gas and waste exchange between the fetus and mother, and provides parasitic cloaking from the mother's immune system by excretion of neurokinin B.",UBERON:0001987,placenta,allantoic placenta || eutherian placenta,"Organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin[GO]. The fetal portion of the placenta is known as the villous chorion. The maternal portion is known as the decidua basalis. The two portions are held together by anchoring villi that are anchored to the decidua basalis by the cytotrophoblastic shell."
C198975,UBERON Terminology,C12469,Pleura,The tissue that lines the wall of the thoracic cavity and the surface of the lungs.,UBERON:0000977,pleura,wall of pleural sac,The invaginated serous membrane that surrounds the lungs (the visceral portion) and lines the walls of the pleural cavity (parietal portion).
C198975,UBERON Terminology,C12840,Pleural Cavity,The potential space between parietal and visceral pleurae. There is a separate pleural cavity for each lung.,UBERON:0002402,pleural cavity,,The fluid-filled cavity that lies between the visceral and parietal pleurae.
C198975,UBERON Terminology,C12511,Pons Varolii,The middle portion of the brainstem located between the midbrain and the medulla oblongata. The fourth ventricle lies dorsal to the pons which also contains the motor trigeminal nuclei and the abducens nuclei. The cerebellum contributes a large number of afferent fibers to the pons.,UBERON:0000988,pons,,"The part of the central nervous system lying between the medulla oblongata and the midbrain, ventral to the cerebellum."
C198975,UBERON Terminology,C103222,Popliteal Fossa,A diamond-shaped depression located in the back of the knee joint.,UBERON:0013069,popliteal area,popliteal fossa,"A depression on the ventral side of the femur, at the knee joint, between the condyles."
C198975,UBERON Terminology,C53146,Popliteal Lymph Node,Lymph node located within the fat layer of the knee joint.,UBERON:0001543,popliteal lymph node,,The lymph nodes which drain the legs; contained in the popliteal fossa.
C198975,UBERON Terminology,C33361,Posterior Cranial Fossa,"The infratentorial compartment of the cranial cavity. Its boundaries are formed by the sphenoid bone, temporal bone, and parietal bone, and it contains the cerebellum and brain stem.",UBERON:0008788,posterior cranial fossa,,"The infratentorial compartment that contains the CEREBELLUM and BRAIN STEM. It is formed by the posterior third of the superior surface of the body of the sphenoid (SPHENOID BONE), by the occipital, the petrous, and mastoid portions of the TEMPORAL BONE, and the posterior inferior angle of the PARIETAL BONE."
C198975,UBERON Terminology,C33368,Posterior Mediastinum,The part of the lower portion of the mediastinum that is located behind the pericardium.,UBERON:0008822,posterior mediastinum,,The posterior mediastinum is an irregular triangular space running parallel with the vertebral column.
C198975,UBERON Terminology,C12228,Base of Tongue,The posterior one third of the tongue behind the terminal sulcus that forms the anterior aspect of the oropharynx responsible for swallowing and modification of the voice in speech.,UBERON:0010033,posterior part of tongue,,"The Posterior tongue, or pharyngeal part, is the part of the tongue behind the terminal sulcus. At its root, it is directed backward, and connected with the hyoid bone by the Hyoglossi and Genioglossi muscles and the hyoglossal membrane; with the epiglottis by three folds (glossoepiglottic) of mucous membrane; with the soft palate by the glossopalatine arches; and with the pharynx by the Constrictores pharyngis superiores and the mucous membrane. It is derived primarily from the third pharyngeal arch. (The second arch has a substantial contribution during fetal development, but this later atrophies. The fourth arch may also contribute, depending upon how the boundaries of the tongue are defined.)."
C198975,UBERON Terminology,C12240,Posterior Wall of the Oropharynx,The dorsal portion of the oropharyngeal cavity that is formed by the muscular pharyngeal wall comprising the superior and middle pharyngeal constrictor muscles.,UBERON:0035240,posterior wall of oropharynx,,
C198975,UBERON Terminology,C33049,Male Prepuce,A fold of skin covering the tip of the penis.,UBERON:0001332,prepuce of penis,penile prepuce || prepuce of male || preputium penis,A retractable double-layered fold of skin and mucous membrane that covers the glans penis and protects the urinary meatus when the penis is not erect.
C198975,UBERON Terminology,C12410,Prostate Gland,"The walnut shaped accessory sex gland of the male reproductive system. It is located in the pelvis just below the bladder, surrounding the prostatic part of the urethra. The prostate gland secretes a fluid which is part of the semen.",UBERON:0002367,prostate gland,male prostate || prostate,"The prostate gland is a partly muscular, partly glandular body that is situated near the base of the mammalian male urethra and secretes an alkaline viscid fluid which is a major constituent of the ejaculatory fluid."
C198975,UBERON Terminology,C12259,Antrum Pylori,The initial part of the pyloric canal of the stomach. This site contains endocrine cells that produce gastrin and somatostatin.,UBERON:0001165,pyloric antrum,,"The area at the bottom of the stomach on the caudal side of the pyloric canal that contains gastrin-producing G cells, which stimulate acid production, and the luminal pH-sensitive population of somatostatin-producing D cells."
C198975,UBERON Terminology,C12260,Pylorus,The lower part of the stomach that connects to the duodenum.,UBERON:0001166,pylorus,pars pylorica || pars pylorica gastricae || pyloric part of stomach || pyloric region || stomach pyloric region,"The stomach tissue region surrounding and controlling the distal outlet of the stomach, which opens into the duodenum."
